block: 5, index 1290, A[1290]: 1290.00000, B[1290]: 2580.00000, C[1290]: 3870.00000
block: 7, index 1802, A[1802]: 1802.00000, B[1802]: 3604.00000, C[1802]: 5406.00000
block: 6, index 1546, A[1546]: 1546.00000, B[1546]: 3092.00000, C[1546]: 4638.00000
block: 9, index 2314, A[2314]: 2314.00000, B[2314]: 4628.00000, C[2314]: 6942.00000
block: 8, index 2058, A[2058]: 2058.00000, B[2058]: 4116.00000, C[2058]: 6174.00000
block: 2, index 522, A[522]: 522.00000, B[522]: 1044.00000, C[522]: 1566.00000
block: 1, index 266, A[266]: 266.00000, B[266]: 532.00000, C[266]: 798.00000
block: 0, index 10, A[10]: 10.00000, B[10]: 20.00000, C[10]: 30.00000
block: 4, index 1034, A[1034]: 1034.00000, B[1034]: 2068.00000, C[1034]: 3102.00000
block: 3, index 778, A[778]: 778.00000, B[778]: 1556.00000, C[778]: 2334.00000
Vector addition successful!
